"pidn","tstp","plev","psex","psed","pgen","pge2","pest","psne","reg1","reg2","reg3","lab1","lab2","lab3"
9,"17/10/2024 12:22:32",NA,1,1,1,1,"Don Bosco",0,4,5,5,5,1,1
10,"17/10/2024 12:23:52",NA,1,1,1,1,"Don Bosco",0,3,4,4,5,1,1
11,"17/10/2024 12:44:50",NA,1,1,1,1,"Don Bosco",0,4,4,4,5,1,1
12,"17/10/2024 12:45:20",NA,1,1,1,1,"Don Bosco",0,4,4,5,5,2,1
13,"17/10/2024 12:45:49",NA,1,1,1,1,"Don Bosco",0,3,5,4,5,1,1
14,"22/10/2024 10:47:04",2,2,0,2,2,"Villa las Nieves",0,5,4,5,4,5,3
15,"22/10/2024 10:50:18",1,2,0,2,2,"Villa las Nieves",0,4,3,2,5,2,2
16,"22/10/2024 10:53:22",1,2,0,2,2,"Villa las Nieves",0,3,3,4,4,4,2
17,"22/10/2024 10:55:51",1,2,0,2,2,"Villa las Nieves",0,5,4,5,5,2,1
18,"22/10/2024 10:57:05",1,1,1,1,1,"Villa las Nieves",0,4,3,4,3,1,2
19,"22/10/2024 12:13:23",3,1,1,1,1,"Don Bosco",0,4,4,4,5,2,2
20,"22/10/2024 12:16:44",3,1,1,1,1,"Don Bosco",0,4,2,4,5,1,1
21,"22/10/2024 12:18:17",3,1,1,1,1,"Don Bosco",0,4,5,4,5,1,1
22,"22/10/2024 12:22:09",3,1,1,1,1,"Don Bosco",0,2,2,3,5,1,1
23,"22/10/2024 12:37:59",2,2,0,2,2,"Sembrando Vidas",0,5,4,5,5,1,1
24,"22/10/2024 12:39:18",3,1,1,1,1,"Sembrando Vidas",0,5,5,5,5,1,1
25,"23/10/2024 10:57:43",1,1,1,1,1,"Don Bosco",0,3,4,4,5,2,2
26,"29/10/2024 10:40:22",3,2,0,2,2,"Bernardo O'Higgins",1,4,4,5,5,4,1
27,"29/10/2024 10:45:43",3,2,0,2,2,"Bernardo O'Higgins",0,5,4,5,5,1,1
28,"29/10/2024 10:47:38",3,3,0,3,3,"Bernardo O'Higgins",0,4,3,5,5,1,1
29,"29/10/2024 10:54:10",3,1,1,1,1,"Bernardo O'Higgins",0,4,4,4,5,1,1
30,"29/10/2024 10:58:28",3,1,1,1,1,"Bernardo O'Higgins",0,5,5,5,5,1,1
